source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,target_distance
2200153454733285248,337.2928846512036,58.41520817273959,3.5550642334569473,0.14753917,3.8505998,4.2316995,3.2610846,"delta Cep",337.29277091,58.41519829333333,3.77,15.35,3.52,-24.0,1.0394465314881965E-5
3127142323596470144,99.27018871085222,3.06396219476623,0.567490686315382,0.0148260975,9.701135,10.594475,8.769544,"CV Mon",99.2701869411314,3.0639656939445,0.4823,0.397,-0.796,19.2,3.869658407229911E-8
5891675303053080704,218.13779279681467,-56.88774644775937,1.389795276490984,0.022076571,6.637,7.228839,5.9356756,"V Cen",218.13784500873717,-56.8877152155978,1.3397,-6.399,-7.031,-18.9,8.405662680892777E-8
4096107909387492992,275.3457607415589,-18.860034027348057,1.9748058176899155,0.057989188,5.4751625,5.955813,4.789843,"Y Sgr",275.34577678958334,-18.860000489722225,2.64,-3.12,-7.01,-3.2,2.723232261324594E-6
5308893149150949248,145.2927195231452,-53.81603750377876,0.26108018898990765,0.012454911,11.1879,12.0446005,10.216908,"CS Vel",145.2927539825297,-53.816050737575,0.1649,-4.573,2.96,27.53,8.067409250667065E-8
4085919765884068736,282.7494724886191,-20.295252984445803,1.15155925147196,0.023719946,6.5842776,7.1368203,5.8780894,"BB Sgr",282.7494710331397,-20.2952300883022,1.2485,0.305,-5.14,6.0,5.257920152163664E-8
5302258008774271488,127.18202311384255,-60.12256315648986,0.7926621151908935,0.0138803935,7.17335,7.650739,6.511265,"V Car",127.18205930619499,-60.1225742461611,0.7603,-4.062,2.478,16.1,8.00922447960383E-8
4092905375639902464,277.9722095156083,-19.125099857498498,1.5693084158455766,0.022430148,6.42923,7.129108,5.63952,"U Sgr",277.9722174202509,-19.125072980616,1.4601,-1.681,-6.03,2.2,7.693363838776764E-8
4204653587029046400,287.08654406188765,-7.437769209883273,0.941018110586877,0.03425026,7.3527784,8.014097,6.5283446,"V496 Aql",287.0865467294033,-7.4377451645828,0.9435,-0.609,-5.38,1.4,1.4765130719994957E-7
4057701830728920064,266.89007492146686,-27.830834617754377,2.8057114280856257,0.13998193,4.327284,4.77966,3.681707,"X Sgr",266.8901004177679,-27.8307913837757,3.4314,-5.097,-9.722,-10.1,1.0912432372737992E-7
4207681367143932672,292.33869849370353,-7.0444352066741285,,,11.625396,,,"U Aql",292.3390011854492,-7.044086075282462,3.63,-0.99,-9.14,-6.5,4.275488267695555E-4
4207681367143932800,292.3390104415707,-7.044125973656825,1.7299832017287864,0.08748936,6.1610203,6.819616,5.385125,"U Aql",292.3390011854492,-7.044086075282462,3.63,-0.99,-9.14,-6.5,1.3605527758727395E-5
4240272953377646592,298.11824336043924,1.0056218968067914,3.6714961421919132,0.19419388,3.7476714,4.282705,3.140237,"eta Aql",298.11819894916664,1.0056582275,2.36,6.91,-8.21,-25.1,1.369420565298305E-5
4050309195613114624,271.25513249315395,-29.580109896712006,2.365032746876402,0.17654313,4.585245,5.014106,3.905923,"W Sgr",271.2551104958977,-29.5800842264844,1.1798,4.368,-5.769,-28.04,2.8467841242080474E-7
1825621002188696448,294.15720454194997,20.33293147253885,1.27808101999479,0.05664703,6.700444,7.601454,5.792493,"U Vul",294.1572003740139,20.3329358980356,1.053,0.906,-0.96,-12.85,1.9812691763077514E-7
1820309639468685824,299.005263800266,16.634763461606617,1.6673186211551927,0.11061882,5.461868,5.908135,4.816586,"S Sge",299.0052559471973,16.634787854553,0.6426,1.763,-5.428,-9.91,4.109789595267373E-7
5888819699572539264,231.15974101292744,-52.85387016499332,0.8408077446720916,0.021128751,7.213343,7.864696,6.4247494,"GH Lup",231.15975101825308,-52.8538602488388,0.8437,-1.37,-2.251,-17.97,1.0010478175952727E-7
5855852527008107008,183.19580971296597,-70.15179538057423,1.1706956927919685,0.091859415,5.8812647,6.3339744,5.2515426,"S Mus",183.1959144352836,-70.1517879094796,1.1314,-8.016,-1.674,-1.91,7.693986929044727E-8
5835124087174043136,244.71595190470393,-57.8998028272921,1.077422760007758,0.021939993,6.175861,6.699772,5.503014,"S Nor",244.7159638891507,-57.8997926716315,1.0616,-1.415,-2.287,5.83,8.014730793200114E-8
4757601523650165120,83.40631067329583,-62.489769239431524,2.930785424074064,0.1391135,3.5934615,4.038506,2.9889317,"beta Dor",83.40630221633378,-62.4898119723424,3.1119,0.8,9.458,7.2,7.806209984590867E-7
3366754155291545344,106.02717676046669,20.570294274158407,3.0729129856354085,0.2177457,3.5395133,3.973537,2.9866095,"zeta Gem",106.02721162625001,20.570298297500003,2.37,-7.29,-0.41,2.8,2.214467842276916E-6
2007201567928631296,340.21724149798314,56.829455737985164,0.4865942070663286,0.020830631,8.185639,8.862301,7.358641,"Z Lac",340.217273376758,56.8294677667462,0.4575,-3.918,-2.696,-31.4,5.461399274753085E-8
5871922507947292032,205.07765290606085,-57.613183920666884,0.5516408883784639,0.026197053,7.621872,8.214571,6.8767366,"XX Cen",205.07768622647626,-57.6131788897771,0.5373,-4.02,-1.131,-18.1,1.9632516652887006E-8
5932569709575669504,243.32248330227355,-54.23489685835529,0.4664669468312262,0.025073968,8.036095,8.69774,7.251307,"V340 Nor",243.3224993157825,-54.234885652175,0.487,-2.099,-2.513,-40.7,4.8123591267079606E-8
5932569714013823104,243.32381192772044,-54.23471102654323,0.05699981122399331,0.16251676,15.086015,,,"V340 Nor",243.3224993157825,-54.234885652175,0.487,-2.099,-2.513,-40.7,7.984227295094828E-4
5932569714020846336,243.32150886225085,-54.23609833417051,,,19.745617,,,"V340 Nor",243.3224993157825,-54.234885652175,0.487,-2.099,-2.513,-40.7,0.001329668128244298
5932569714020846976,243.32167900464592,-54.23461036364742,,,17.278288,,,"V340 Nor",243.3224993157825,-54.234885652175,0.487,-2.099,-2.513,-40.7,5.505140353494727E-4
5932569714020847360,243.32074024222652,-54.23443169184383,,,20.463926,,,"V340 Nor",243.3224993157825,-54.234885652175,0.487,-2.099,-2.513,-40.7,0.0011199468054766965
5332375453374624640,178.0737807060855,-65.40418201580248,0.291540355982154,0.012110106,9.441485,10.127277,8.624062,"UU Mus",178.0738439257258,-65.4041835209972,0.2642,-5.913,0.328,-15.7,5.7715945995586986E-8
5884368498528237952,235.58714333318548,-55.31194067495213,0.5968835045929278,0.019319529,8.493722,9.551569,7.443438,"U Nor",235.5871584165174,-55.3119282681009,0.6115,-1.916,-2.787,-21.7,7.140193205039809E-8
6054171091399658880,184.5706390821568,-63.28011877437103,0.15867440138946334,0.14514345,9.364089,10.112465,7.786679,"SU Cru",184.5705548005432,-63.28015671234661,4.41,38.7,-19.98,-28.5,1.8451742026620916E-4
6054171095749135360,184.57022580781137,-63.28010337131626,0.07330108111021148,0.16803603,9.849246,10.084296,7.780912,"SU Cru",184.5705548005432,-63.28015671234661,4.41,38.7,-19.98,-28.5,3.5008010871523816E-4
5596601154188852352,121.58947099704125,-30.096870321980546,0.2811261985145067,0.0146581745,9.638985,10.428416,8.79757,"BN Pup",121.58947862115869,-30.0968800547766,0.1507,-1.481,2.173,62.3,7.631534574985139E-8
4267397694768545920,287.0572892395435,1.2986314478168068,0.9627292503917214,0.022391792,6.7743034,7.5821614,5.906594,"TT Aql",287.0572904669876,1.2986517295272,0.8881,-0.272,-4.555,3.0,4.14911374495758E-8
4267397699132833536,287.0582948143277,1.2990472354827272,,,17.591507,14.217988,13.481476,"TT Aql",287.0572904669876,1.2986517295272,0.8881,-0.272,-4.555,3.0,0.0010878753725742927
5597327141100381568,119.74673595271136,-29.30786248156158,0.19247625578613758,0.015733933,10.147516,10.928136,9.267422,"LS Pup",119.7467490297208,-29.3078769605433,0.149,-2.569,3.242,77.4,7.159843299568357E-8
5864955727374012928,203.49312696870143,-64.05620765941642,0.15755345927370976,0.080300614,16.803886,17.31892,15.429012,"VW Cen",203.4959579719572,-64.0555553972233,0.22,-5.93,-1.24,-29.9,0.0013739350877758206
5864955727374013056,203.4945742201352,-64.05645475755264,0.5093023547337635,0.27031553,18.788126,,,"VW Cen",203.4959579719572,-64.0555553972233,0.22,-5.93,-1.24,-29.9,0.0010650057294268242
5864955727424819200,203.49589762775506,-64.05556091565754,0.23860659524216335,0.015768955,9.853758,10.698315,8.964625,"VW Cen",203.4959579719572,-64.0555553972233,0.22,-5.93,-1.24,-29.9,4.558550882351888E-8
1870258975238302208,310.85076233271076,35.58777650648951,0.8842386287181716,0.01992764,6.199011,6.8105884,5.4422164,"X Cyg",310.8507994428975,35.5877988145533,0.8983,-6.797,-5.001,8.1,8.673158773122293E-8
2058374144759464064,301.11066128539693,34.11224946615463,0.36652193625978186,0.016361248,8.587173,9.376083,7.6942596,"CD Cyg",301.1106720195397,34.1122742376265,0.3808,-2.001,-5.562,-12.5,5.183005733949583E-8
4175017625462647168,268.1612443348865,-6.143597122396139,1.3126031176792647,0.03618998,5.6400485,6.5579586,4.6863003,"Y Oph",268.16125881229607,-6.1435764342044,1.3611,-3.234,-4.646,-7.2,4.452434635684862E-8
4267549637851481344,286.16423460279407,1.3061432029418725,0.4900926960360036,0.02000498,8.201151,9.052635,7.225074,"SZ Aql",286.1642332964619,1.3061544494332,0.421,0.285,-2.512,7.0,9.098530978504448E-8
