index ;typed ident;       identifier        ;typ;       coord1 (ICRS,J2000/2000)        ;Mag U ;Mag B ;Mag V ;Mag R ;Mag I ;  spec. type   ;#bib;#not
337;RW CMA     ;V* RW CMa                ;cC*;07 13 11.6754342031 -18 43 50.700368879;     ~;12.19 ;11.16 ;     ~;     ~;F5             ;  41;   0
338;RW CAS     ;V* RW Cas                ;cC*;01 37 14.0194446925 +57 45 33.192081133;     ~; 9.44 ; 8.58 ;     ~; 7.896;G2             ; 137;   0
339;RY CAS     ;V* RY Cas                ;cC*;23 52 07.0320627883 +58 44 30.207229715;     ~;11.32 ; 9.95 ;     ~; 8.411;F9Ib           ; 102;   0
340;RX TUC     ;V* RX Tuc                ;cC*;01 00 19.70 -72 38 38.2                ;     ~;16.349;15.930;     ~;15.214;~              ;   8;   0
341;RY SCO     ;V* RY Sco                ;cC*;17 50 52.3454231475 -33 42 20.410667234; 9.77 ; 8.79 ; 7.51 ;     ~; 6.256;F6Ib           ; 164;   0
342;RY CMA     ;V* RY CMa                ;cC*;07 16 37.6358131162 -11 29 14.298952423;     ~; 8.99 ; 8.19 ;     ~; 7.133;F8Ib/II        ; 140;   0
343;RZ GEM     ;V* RZ Gem                ;cC*;06 02 36.5872523443 +22 14 02.947734335;     ~;10.83 ; 9.91 ; 9.68 ; 8.679;F5             ; 107;   0
344;RZ CMA     ;V* RZ CMa                ;cC*;07 21 32.8572494264 -16 41 14.000346928;     ~;10.75 ; 9.72 ;     ~; 8.477;F6             ;  79;   0
345;RY VEL     ;V* RY Vel                ;cC*;10 20 41.0317627466 -55 19 17.035924264;     ~; 9.71 ; 7.86 ;     ~; 6.840;F5Ib/II        ; 125;   0
346;RZ VEL     ;V* RZ Vel                ;cC*;08 37 01.3029337589 -44 06 52.844429407;     ~; 8.507; 7.260;     ~;     ~;G1Ib           ; 190;   0
347;S CRU      ;V* S Cru                 ;cC*;12 54 21.9972794334 -58 25 50.214605143; 7.94 ; 7.34 ; 6.58 ;     ~; 5.730;F7Ib/II        ; 165;   0
348;S MUS      ;V* S Mus                 ;cC*;12 12 47.0194644681 -70 09 06.436474127; 7.58 ; 7.01 ; 6.17 ;     ~; 5.196;F6Ib+B5V       ; 230;   0
349;S SGE      ;* 10 Sge                 ;RV*;19 56 01.2614273274 +16 38 05.236276391; 6.45 ; 6.03 ; 5.36 ;     ~; 4.789;F7Ib           ; 323;   0
350;S TRA      ;V* S TrA                 ;cC*;16 01 10.7159013455 -63 46 35.532422255; 7.73 ; 7.19 ; 6.41 ;     ~; 5.602;F8II           ; 158;   0
351;S VUL      ;V* S Vul                 ;RV*;19 48 23.8064092485 +27 17 11.426469538;     ~;10.99 ; 8.69 ;     ~;     ~;K0             ; 170;   0
352;ST PUP     ;V* ST Pup                ;pA*;06 48 56.4137309745 -37 16 33.336632924;     ~;10.47 ; 9.28 ; 9.89 ; 9.29 ;G2I            ;  80;   0
353;SS TUC     ;V* SS Tuc                ;cC*;01 01 49.4916678477 -72 05 45.280871492;     ~;13.74 ;12.88 ;12.88 ;12.148;G1Iab          ;  30;   0
354;SS SCT     ;V* SS Sct                ;cC*;18 43 43.5114066939 -07 43 51.958881260;     ~; 9.29 ; 7.90 ;     ~; 7.100;F8II           ; 156;   0
355;SS CMA     ;V* SS CMa                ;cC*;07 26 07.1974608016 -25 15 26.439068915;     ~;10.99 ; 9.84 ;     ~;     ~;~              ;  87;   0
356;SU CRU     ;V* SU Cru                ;cC*;12 18 16.93315 -63 16 48.5642          ;     ~;11.05 ; 9.54 ;     ~;     ~;M              ;  76;   0
357;SU CAS     ;V* SU Cas                ;cC*;02 51 58.7508894403 +68 53 18.601570075; 6.92 ; 6.44 ; 5.80 ;     ~;     ~;F5.5III+       ; 405;   1
358;ST VEL     ;V* ST Vel                ;cC*;08 44 55.8932351877 -50 33 36.140752245;     ~;10.89 ; 9.69 ;     ~; 8.294;K              ;  62;   0
359;ST TAU     ;V* ST Tau                ;cC*;05 45 03.1601683809 +13 34 34.903166002;     ~; 9.13 ; 7.79 ;     ~; 7.149;G0             ; 115;   0
360;SU CYG     ;V* SU Cyg                ;cC*;19 44 48.7364497912 +29 15 52.894148064; 7.10 ; 6.88 ; 6.44 ; 6.06 ; 5.84 ;F2Iab:+B8.0V   ; 276;   1
361;SV CRU     ;V* SV Cru                ;cC*;11 57 53.7369124624 -62 38 46.072438549;     ~;12.98 ;11.76 ;     ~;     ~;~              ;  26;   0
362;SU SCT     ;V* SU Sct                ;cC*;18 52 52.1084820364 -12 30 35.473574499;     ~;     ~;     ~;     ~;     ~;~              ;  15;   0
363;SV TUC     ;V* SV Tuc                ;cC*;01 03 12.2953464174 -71 50 47.822093929;     ~;15.958;15.558;     ~;14.858;F              ;   7;   0
364;SV MON     ;V* SV Mon                ;cC*;06 21 26.3051049461 +06 28 12.577938993;     ~; 9.32 ; 8.28 ;     ~;     ~;G1Ib           ; 155;   0
365;SV VEL     ;V* SV Vel                ;cC*;10 44 56.3463858318 -56 17 22.395138291; 9.45 ; 8.73 ; 7.91 ;     ~;     ~;F7II           ;  91;   0
366;SV VUL     ;V* SV Vul                ;cC*;19 51 30.9059608126 +27 27 36.835645654; 8.65 ; 7.86 ; 6.74 ;     ~; 5.703;F8Ia           ; 391;   0
367;SW TAU     ;V* SW Tau                ;WV*;04 24 32.9729177626 +04 07 24.079650708;     ~;10.23 ; 9.33 ;     ~;     ~;A7             ; 102;   0
368;SW CAS     ;V* SW Cas                ;cC*;23 07 10.0825486116 +58 33 15.128942270;     ~;10.73 ; 9.74 ;     ~; 8.397;K0             ; 102;   0
369;SX CAR     ;V* SX Car                ;cC*;10 46 05.8410127878 -57 32 51.123300070;     ~; 9.93 ; 9.06 ; 9.51 ; 8.047;F6Ib/II        ;  84;   0
370;SW VEL     ;V* SW Vel                ;cC*;08 43 38.6904013543 -47 24 11.196771088;     ~; 9.58 ; 8.32 ;     ~;     ~;F8/G0Ib        ; 164;   0
371;SY CAS     ;V* SY Cas                ;cC*;00 15 09.8128640040 +58 25 27.439915823;     ~;10.69 ; 9.92 ;     ~; 8.789;F5             ; 110;   0
372;SY AUR     ;V* SY Aur                ;cC*;05 12 39.2271412155 +42 49 54.415802821;     ~; 9.97 ; 9.05 ;     ~; 7.851;F5III          ; 111;   0
373;SX VEL     ;V* SX Vel                ;cC*;08 44 53.4688984489 -46 20 34.732806621;     ~; 9.19 ; 8.33 ;     ~; 7.264;F8II           ; 111;   0
374;SY NOR     ;V* SY Nor                ;cC*;15 54 42.8119796279 -54 33 59.157757941;     ~;11.0  ; 9.63 ;     ~; 7.928;F9Ib+B4.5V     ;  81;   1
375;SZ AQL     ;V* SZ Aql                ;cC*;19 04 39.4159911509 +01 18 22.156017960;     ~; 9.92 ; 7.92 ;     ~; 7.039;F8/G0Ib        ; 170;   0
376;SZ TAU     ;V* SZ Tau                ;cC*;04 37 14.7778803229 +18 32 34.929341041; 7.65 ; 7.13 ; 6.37 ;     ~;     ~;F6.7:Ib        ; 284;   0
377;SZ MON     ;V* SZ Mon                ;RV*;06 51 27.8478992210 -01 22 15.961057167;     ~;10.61 ; 9.76 ;     ~; 9.109;F8(e)          ;  59;   0
378;SZ CYG     ;V* SZ Cyg                ;cC*;20 32 54.2939988595 +46 36 04.582313595;     ~;10.80 ; 9.37 ;     ~; 7.770;F7.5/8-G6.5Ib  ; 134;   0
379;SZ CAS     ;V* SZ Cas                ;cC*;02 27 13.7670524473 +59 27 38.174718163;     ~;11.5  ; 9.60 ;     ~;     ~;G5III          ; 151;   0
380;T ANT      ;V* T Ant                 ;cC*;09 33 50.8595664736 -36 36 56.742348780;     ~; 9.93 ; 9.26 ;     ~;     ~;G5             ;  70;   0
381;T CRU      ;V* T Cru                 ;cC*;12 21 21.1280228251 -62 16 53.876299134;     ~; 7.42 ; 6.57 ;     ~;     ~;G2Ib           ; 132;   0
382;T MON      ;V* T Mon                 ;cC*;06 25 12.9997562821 +07 05 08.561189768; 8.24 ; 7.20 ; 5.98 ;     ~; 4.996;G3Iabv+A0p     ; 438;   1
383;T VEL      ;V* T Vel                 ;cC*;08 37 40.8268486937 -47 21 43.082343785;     ~; 8.92 ; 7.68 ;     ~; 6.970;G0II           ; 145;   0
384;TT AQL     ;V* TT Aql                ;cC*;19 08 13.7497120770 +01 17 55.146226298; 8.96 ; 7.86 ; 6.50 ;     ~; 5.699;G0/2Ib         ; 253;   0
385;TV CAM     ;V* TV Cam                ;cC*;04 07 32.7987744038 +60 19 06.461879431;     ~;12.83 ;11.43 ;     ~;     ~;F6Ibp          ;  42;   0
386;TU CAS     ;V* TU Cas                ;cC*;00 26 19.4484760999 +51 16 49.290847490;     ~; 8.507; 7.835;     ~;     ~;F4             ; 188;   0
387;TW MON     ;V* TW Mon                ;Ce*;06 50 32.3362879535 +00 00 25.185938999;     ~;     ~;     ~;     ~;10.939;~              ;  38;   0
388;TW CMA     ;V* TW CMa                ;cC*;07 22 02.3794845665 -14 19 05.497464410;     ~;10.40 ; 9.59 ;     ~; 8.429;F5             ;  86;   0
389;TW CAP     ;V* TW Cap                ;WV*;20 14 28.4159505661 -13 50 07.886308747;     ~;11.0  ;10.7  ;     ~;     ~;F4Ib           ;  68;   0
390;TV CMA     ;V* TV CMa                ;cC*;07 09 15.4113468927 -13 47 09.919739837;     ~;11.58 ;10.59 ;     ~;     ~;F5             ;  66;   0
391;TY CRU     ;V* TY Cru                ;cC*;12 06 40.2475295347 -62 35 48.644450414;     ~;     ~;     ~;     ~;     ~;~              ;  16;   0
392;TX MON     ;V* TX Mon                ;cC*;06 50 52.2687185541 -01 25 45.221461613;     ~;11.76 ;10.67 ;     ~; 9.619;F6             ;  85;   0
393;TX DEL     ;V* TX Del                ;WV*;20 50 12.6956652311 +03 39 08.365333296;     ~; 9.95 ; 8.84 ;     ~;     ~;F8             ;  92;   0
394;TX CYG     ;V* TX Cyg                ;cC*;21 00 06.3808243296 +42 35 51.214648706;     ~;11.3  ; 9.50 ;     ~; 7.168;F5.5Ib-G5Ib:   ; 132;   0
395;TX CEN     ;V* TX Cen                ;cC*;14 35 11.8540458235 -60 59 52.692955402;     ~;11.82 ;10.53 ;     ~; 8.620;~              ;  54;   0
396;TZ MUS     ;V* TZ Mus                ;cC*;11 50 56.4192466241 -65 08 26.586662645;     ~;12.99 ;     ~;     ~;     ~;~              ;  35;   0
397;TY SCT     ;V* TY Sct                ;cC*;18 42 07.9138178608 -04 17 36.534181571;     ~;13.07 ;11.00 ;     ~; 8.829;F8             ;  82;   0
398;TY MON     ;V* TY Mon                ;cC*;06 56 39.7965268829 +00 11 24.143096639;     ~;12.90 ;     ~;     ~;10.347;K5             ;  38;   0
399;U AQL      ;V* U Aql                 ;cC*;19 29 21.36028 -07 02 38.7099          ; 8.41 ; 7.71 ; 6.61 ;     ~; 5.270;F5I/II+B9.8V   ; 257;   0
400;U CAR      ;V* U Car                 ;cC*;10 57 48.1866898409 -59 43 55.880151632; 8.31 ; 7.21 ; 6.11 ;     ~; 5.073;G5/8Iab        ; 203;   0
401;U SGR      ;V* U Sgr                 ;cC*;18 31 53.3321808602 -19 07 30.262730218; 8.50 ; 7.81 ; 6.68 ;     ~; 5.413;G1Ib           ; 424;   0
402;U TRA      ;V* U TrA                 ;Ce*;16 07 19.0041509425 -62 54 38.017920096;     ~; 8.43 ; 7.89 ;     ~;     ~;F8Ib/II        ; 126;   0
403;UW CAR     ;V* UW Car                ;cC*;10 26 50.8798632047 -59 40 10.371971830;     ~;10.33 ; 9.47 ;     ~; 8.219;G0             ;  56;   0
404;UU MUS     ;V* UU Mus                ;cC*;11 52 17.7225421742 -65 24 15.060675590;     ~;10.5  ; 9.54 ;     ~;     ~;F7/G0p         ; 110;   0
405;U VUL      ;V* U Vul                 ;cC*;19 36 37.7280897633 +20 19 58.569232928;     ~; 8.368; 7.162;     ~; 5.556;F8Iab          ; 205;   0
406;UY ERI     ;V* UY Eri                ;WV*;03 13 39.1354210890 -10 26 32.406314827;     ~;11.96 ;11.46 ;     ~;     ~;F              ;  69;   0
407;UY CAR     ;V* UY Car                ;cC*;10 32 04.4218470294 -61 46 57.459557743;     ~; 9.683; 9.347; 9.47 ; 8.010;G              ;  60;   0
408;UX PER     ;V* UX Per                ;cC*;02 13 07.4859156425 +58 04 47.824653665;     ~;12.14 ;11.26 ;     ~;     ~;F5             ;  71;   0
409;UX NOR     ;V* UX Nor                ;WV*;16 27 44.6961310109 -56 47 08.159649157;     ~;13.55 ;     ~;12.05 ;     ~;~              ;  14;   0
410;UX MUS     ;V* UX Mus                ;cC*;12 17 33.6304818299 -65 45 14.371287617;     ~;15.22 ;14.37 ;13.79 ;     ~;~              ;   8;   0
411;UX CAR     ;V* UX Car                ;cC*;10 29 11.2428716500 -57 36 48.245099584; 9.81 ; 9.36 ; 8.62 ;     ~; 7.559;F2II           ; 116;   0
412;UZ CAS     ;V* UZ Cas                ;cC*;01 12 41.1652799561 +61 12 48.086875357;     ~;12.15 ;11.45 ;     ~;     ~;G2             ;  62;   0
413;UZ CAR     ;V* UZ Car                ;cC*;10 36 17.8234987618 -61 00 45.249317618;     ~;10.22 ; 9.38 ;     ~; 8.373;G0             ;  64;   0
414;UY PER     ;V* UY Per                ;cC*;02 34 31.3000705518 +58 49 53.839204521;     ~;12.46 ;11.18 ;     ~; 9.431;F7             ; 106;   0
415;UY MON     ;V* UY Mon                ;cC*;06 58 50.3176103311 +09 37 21.838154223;     ~; 9.89 ; 9.37 ;     ~;     ~;F8II           ;  66;   0
416;UZ SCT     ;V* UZ Sct                ;cC*;18 31 22.3666774568 -12 55 43.338736715;     ~;13.23 ;10.91 ;     ~; 9.195;G0             ;  73;   0
417;UZ CEN     ;V* UZ Cen                ;Ce*;11 40 58.5377419239 -62 41 32.931890679;     ~; 9.60 ; 8.30 ;     ~; 7.909;F3Ib/II        ; 103;   1
418;V CAR      ;V* V Car                 ;cC*;08 28 43.6942334868 -60 07 21.267286180;     ~; 8.14 ; 7.31 ;     ~; 6.432;F8Ib/II        ; 119;   0
419;V LAC      ;V* V Lac                 ;cC*;22 48 37.9957086435 +56 19 17.540249050;     ~; 9.72 ; 8.89 ;     ~; 7.883;G5             ; 145;   0
420;V1004 SGR  ;V* V1004 Sgr             ;WV*;18 01 03.9 -31 23 46                   ;     ~;13.40 ;     ~;     ~;     ~;~              ;  13;   0
421;V VEL      ;V* V Vel                 ;cC*;09 22 16.1681614743 -55 57 37.150827133;     ~; 8.29 ; 7.57 ;     ~; 6.695;F8II           ; 118;   0
422;V1077 SGR  ;V* V1077 Sgr             ;WV*;19 06 26.9465255638 -19 36 35.279787187;     ~;13.00 ;12.62 ;13.32 ;     ~;~              ;  11;   0
423;V1077 CYG  ;V* V1077 Cyg             ;WV*;21 29 23.1143885680 +49 06 36.113192821;     ~;13.78 ;     ~;     ~;     ~;~              ;   6;   0
424;V1046 CYG  ;V* V1046 Cyg             ;Ce*;20 16 47.4956538134 +36 32 59.858274805;     ~;     ~;     ~;     ~;     ~;~              ;  20;   0
425;V1033 CYG  ;V* V1033 Cyg             ;Ce*;20 05 20.6649447517 +32 39 32.808489230;     ~;     ~;     ~;12.59 ;     ~;~              ;  26;   0
426;V1025 CYG  ;V* V1025 Cyg             ;cC*;20 00 46.3581923744 +30 54 27.422396043;     ~;14.70 ;     ~;     ~;     ~;~              ;  17;   0
427;V1020 CYG  ;V* V1020 Cyg             ;cC*;19 59 09.0214242639 +32 41 43.596104803;     ~;15.60 ;     ~;     ~;     ~;~              ;  23;   0
428;V1154 CYG  ;V* V1154 Cyg             ;Ce*;19 48 15.4663192383 +43 07 36.959329251;     ~; 9.92 ; 9.14 ;     ~; 8.120;G0             ;  76;   0
429;V1336 CYG  ;V* V1336 Cyg             ;Ce*;21 23 48.4546077020 +45 29 22.856776979;     ~;     ~;     ~;     ~;     ~;~              ;   9;   0
430;V1334 CYG  ;V* V1334 Cyg             ;cC*;21 19 22.1772463169 +38 14 14.867388528;     ~; 6.364; 5.882;     ~;     ~;F1II+B7.0V     ; 169;   1
431;V1290 SGR  ;V* V1290 Sgr             ;WV*;18 21 37.2807902353 -32 38 01.110413097;     ~;12.50 ;     ~;     ~;     ~;~              ;  21;   0
432;V1185 SGR  ;V* V1185 Sgr             ;WV*;18 19 45.7968160716 -27 09 33.156385543;     ~;     ~;     ~;     ~;11.535;~              ;  12;   0
433;V1183 AQL  ;V* V1183 Aql             ;cC*;18 55 57.9440013814 +12 00 13.421798014;     ~;     ~;     ~;     ~;     ~;~              ;   2;   0
434;V1162 AQL  ;V* V1162 Aql             ;cC*;19 52 20.9909064920 -11 22 00.757174772;     ~; 8.73 ; 7.81 ;     ~;     ~;G2Ib           ;  71;   0
435;V1364 CYG  ;V* V1364 Cyg             ;cC*;20 07 29.4353798684 +35 20 46.917591140;     ~;15.24 ;     ~;     ~;     ~;~              ;  27;   0
436;V1359 AQL  ;V* V1359 Aql             ;cC*;20 03 39.9669802262 -03 22 38.842814643;     ~;10.25 ; 9.060;     ~; 7.548;G5             ;  24;   0
437;V1344 AQL  ;V* V1344 Aql             ;cC*;19 11 59.1731916622 +04 21 17.479593593;     ~; 9.01 ; 7.78 ;     ~; 6.316;G0Ib           ;  50;   0
438;V1711 SGR  ;V* V1711 Sgr             ;WV*;20 01 07.9860335196 -30 30 38.908194700;     ~;11.26 ;10.67 ;     ~;     ~;F6CH+2         ;  34;   0
439;V1496 AQL  ;V* V1496 Aql             ;cC*;18 54 59.5332015184 -00 04 36.365559834;     ~;12.2  ;     ~;     ~;     ~;~              ;  13;   0
440;V1467 CYG  ;V* V1467 Cyg             ;cC*;20 04 02.1690352240 +32 27 02.534627496;     ~;15.98 ;     ~;     ~;     ~;~              ;  25;   0
441;V335 AUR   ;V* V335 Aur              ;cC*;05 42 29.2584824196 +37 38 46.817355337;     ~;13.62 ;     ~;     ~;     ~;~              ;  32;   0
442;V2338 OPH  ;V* V2338 Oph             ;WV*;18 05 28.9192873994 +07 54 20.938145655;     ~;13    ;     ~;     ~;     ~;~              ;  14;   0
443;V2201 CYG  ;V* V2201 Cyg             ;cC*;21 04 16.8273810585 +49 44 39.865749222;     ~;13.4  ;     ~;     ~;     ~;~              ;   5;   0
444;V1996 SGR  ;V* V1996 Sgr             ;cC*;18 30 36.0421606287 -24 37 21.219262055;     ~;     ~;     ~;     ~;     ~;~              ;   7;   0
445;V1833 SGR  ;V* V1833 Sgr             ;WV*;18 15 51.6982994801 -31 07 02.968566745;     ~;     ~;     ~;     ~;     ~;~              ;   6;   0
446;V1828 SGR  ;V* V1828 Sgr             ;cC*;18 13 32.9225659811 -26 23 36.629004214;     ~;12.60 ;12.971;     ~;11.839;~              ;  16;   0
447;V1726 CYG  ;V* V1726 Cyg             ;cC*;21 29 38.9420420958 +48 58 08.704046445;     ~; 9.76 ; 8.91 ;     ~;     ~;F5             ;  65;   1
448;V339 CEN   ;V* V339 Cen              ;cC*;14 21 48.5455617856 -61 32 58.662312019;     ~; 9.68 ; 8.57 ;     ~;     ~;F7II           ;  83;   0
449;V336 ORI   ;V* V336 Ori              ;cC*;05 57 34.3995273288 +19 49 11.676999844;     ~;     ~;     ~;     ~;     ~;~              ;   7;   0
450;V336 AQL   ;V* V336 Aql              ;cC*;19 01 19.7300111005 +00 08 49.232823279;     ~;11.4  ; 9.87 ;     ~;     ~;G0             ;  72;   0
451;V335 PUP   ;V* V335 Pup              ;cC*;07 56 57.7031283196 -22 49 31.571769531;     ~; 9.58 ; 9.18 ; 9.16 ;     ~;F3II           ;  42;   0
452;V347 CYG   ;V* V347 Cyg              ;cC*;20 51 26.5747652573 +46 07 15.775272660;     ~;14.21 ;     ~;     ~;     ~;~              ;  21;   0
453;V347 CRA   ;V* V347 CrA              ;WV*;18 12 19.8 -39 14 22                   ;     ~;12.95 ;     ~;     ~;     ~;~              ;   8;   0
454;V343 CYG   ;V* V343 Cyg              ;WV*;20 04 04.4823350888 +39 06 15.201428550;     ~;14.30 ;     ~;     ~;11.429;F6             ;  30;   0
455;V342 CAS   ;V* V342 Cas              ;cC*;23 01 21.1292415447 +57 52 01.296765049;     ~;13.32 ;     ~;     ~;     ~;F8             ;  23;   0
456;V341 ARA   ;V* V341 Ara              ;Ce*;16 57 41.5112067061 -63 12 38.438008807;     ~;10.67 ;10.65 ;     ~;10.587;OB             ;  22;   0
457;V340 NOR   ;V* V340 Nor              ;cC*;16 13 17.682 -54 14 05.06              ;     ~; 9.35 ; 8.25 ;     ~;     ~;G0Ib           ; 129;   0
458;V356 CYG   ;V* V356 Cyg              ;cC*;21 07 46.6001190547 +46 44 13.176298039;     ~;13.74 ;     ~;     ~;     ~;~              ;  21;   0
459;V351 CEP   ;V* V351 Cep              ;WV*;22 33 41.3492781069 +57 19 05.897787371;     ~;10.39 ; 9.50 ;     ~;     ~;F8Ib           ;  43;   0
460;V350 SGR   ;V* V350 Sgr              ;cC*;18 45 17.4962010593 -20 38 50.571706956;     ~; 8.33 ; 7.47 ;     ~; 6.421;F8Ib/II        ; 188;   0
461;V377 SGR   ;V* V377 Sgr              ;WV*;18 48 09.7930749021 -20 07 35.615661401;     ~;13.72 ;     ~;     ~;     ~;~              ;  16;   0
462;V371 PER   ;V* V371 Per              ;Ce*;02 55 31.1849192790 +42 35 19.728716948;     ~;11.52 ;10.95 ;     ~;     ~;~              ;  14;   0
463;V379 CAS   ;V* V379 Cas              ;cC*;00 26 35.9583681261 +60 47 53.431224644;     ~;10.18 ; 9.16 ;     ~;     ~;F6             ;  36;   0
464;V378 CEN   ;V* V378 Cen              ;cC*;13 18 58.2834991005 -62 22 56.405747277; 9.9  ; 9.63 ; 8.54 ; 8.93 ;     ~;F5Iab/b        ;  98;   0
465;V386 CYG   ;V* V386 Cyg              ;cC*;21 14 40.4339518156 +41 42 58.844202279;     ~;11.12 ; 9.75 ;     ~; 7.750;F5.5-G0Ib      ; 107;   1
466;V383 SGR   ;V* V383 Sgr              ;WV*;18 51 14.0408098773 -32 15 19.151307135;     ~;12.80 ;     ~;     ~;     ~;~              ;   8;   0
467;V383 CYG   ;V* V383 Cyg              ;WV*;20 28 58.1571546887 +34 08 06.363774623;     ~;12.11 ;11.04 ;     ~;     ~;~              ;  32;   0
468;V3820 SGR  ;V* V3820 Sgr             ;Ce*;18 26 22.3316381613 -24 14 16.464770156;     ~;     ~;     ~;     ~;     ~;~              ;   6;   0
469;V382 CAR   ;* x Car                  ;cC*;11 08 35.3899998 -58 58 30.135741      ; 6.07 ; 5.09 ; 3.83 ; 2.86 ; 2.27 ;G5_0-Ia        ; 140;   0
470;V381 CEN   ;V* V381 Cen              ;WV*;13 50 44.2885902274 -57 34 49.806710792;     ~; 8.44 ; 7.69 ;     ~;     ~;F8Ib/II        ;  94;   0
471;V396 CYG   ;V* V396 Cyg              ;cC*;20 16 12.6791646844 +42 06 31.383618441;     ~;13.90 ;11.18 ;     ~;     ~;~              ;  41;   0
472;V395 CAS   ;V* V395 Cas              ;cC*;02 10 29.1716844896 +63 17 51.112894946;     ~;11.54 ;10.59 ;     ~; 9.452;~              ;  23;   0
473;V407 CAS   ;V* V407 Cas              ;cC*;23 54 24.5759999716 +62 08 58.092349636;     ~;13.34 ;     ~;     ~;     ~;~              ;  21;   0
474;V4061 SGR  ;V* V4061 Sgr             ;Ce*;18 56 17.5356782191 -27 31 25.604516266;     ~; 9.376; 9.221;10.94 ; 9.59 ;~              ;  10;   0
475;V399 CEN   ;V* V399 Cen              ;Al*;13 22 00.8696463740 -59 46 06.596851782;     ~;     ~;     ~;     ~;     ~;~              ;   4;   0
476;V397 CAR   ;V* V397 Car              ;cC*;10 00 03.6928250252 -66 16 34.475151549;     ~; 9.07 ; 8.29 ;     ~;     ~;F8Ib/II        ;  37;   0
477;V435 PER   ;V* V435 Per              ;Ce*;04 42 50.2636196562 +46 42 04.347090690;     ~;11.80 ;     ~;12.060;     ~;~              ;   2;   0
478;V432 ORI   ;V* V432 Ori              ;cC*;05 18 47.9780159274 +13 59 12.046237164;     ~;     ~;     ~;     ~;     ~;F7             ;   7;   0
479;V420 CEN   ;V* V420 Cen              ;WV*;11 39 50.3391720180 -47 57 51.219256179;     ~;10.34 ; 9.77 ;     ~;     ~;~              ;  24;   1
480;V419 CEN   ;V* V419 Cen              ;cC*;11 30 54.4295934697 -56 53 55.835019509;     ~; 8.90 ; 8.19 ;     ~;     ~;F7II           ;  90;   0
481;V470 SCO   ;V* V470 Sco              ;cC*;17 17 25.4654724020 -37 19 07.798432454;     ~;13.00 ;11.06 ;     ~; 8.237;~              ;  32;   0
482;V465 MON   ;V* V465 Mon              ;cC*;07 08 09.3121532568 -00 03 56.575387117;     ~;11.07 ;     ~;     ~;     ~;G0             ;  69;   0
483;V459 CYG   ;V* V459 Cyg              ;cC*;21 10 54.3730291825 +49 08 31.399601861;     ~;11.76 ;10.54 ;     ~; 8.845;F8             ;  64;   0
484;V458 SCT   ;V* V458 Sct              ;Ce*;18 22 27.0665392497 -10 07 29.180007556;     ~;10.74 ; 9.81 ;     ~;     ~;~              ;  17;   0
485;V449 CRA   ;V* V449 CrA              ;WV*;18 57 17.6853199754 -38 08 30.060370878;     ~;     ~;     ~;     ~;     ~;~              ;   5;   0
486;V447 MON   ;V* V447 Mon              ;Ce*;06 44 15.9969991189 +04 29 54.221423688;     ~;     ~;     ~;     ~;     ~;~              ;  21;   0
487;V446 SCO   ;V* V446 Sco              ;WV*;17 58 20.2105584757 -36 15 44.674419786;     ~;13.23 ;13.040;     ~;11.868;~              ;  12;   0
488;V446 MON   ;V* V446 Mon              ;Ce*;06 43 17.3933331602 +01 09 39.286020078;     ~;     ~;     ~;     ~;     ~;~              ;  21;   0
489;V440 PER   ;V* V440 Per              ;cC*;02 23 51.7443033534 +55 21 53.502365644; 7.76 ; 7.120; 6.291;     ~;     ~;F8Ib-II        ; 166;   0
490;V438 CYG   ;V* V438 Cyg              ;cC*;20 18 54.3161449398 +40 03 52.176873589;     ~;12.65 ;10.78 ;     ~;     ~;~              ;  40;   0
491;V482 SCO   ;V* V482 Sco              ;cC*;17 30 48.3803954756 -33 36 35.658894044;     ~; 8.78 ; 7.91 ;     ~; 6.831;F8/G0II        ; 139;   0
492;V478 OPH   ;V* V478 Oph              ;WV*;17 59 38.9855946531 +00 47 09.017507541;     ~;     ~;     ~;     ~;     ~;~              ;  25;   0
493;V477 OPH   ;V* V477 Oph              ;WV*;17 59 08.1631228176 +05 38 26.222480100;     ~;13.70 ;     ~;     ~;     ~;~              ;  23;   0
494;V473 LYR   ;V* V473 Lyr              ;cC*;19 15 59.4894683081 +27 55 34.683764506; 7.18 ; 6.770; 6.153;     ~;     ~;F8Ib-II        ; 202;   0
495;V495 MON   ;V* V495 Mon              ;cC*;06 37 03.3837974248 -02 49 26.756611872;     ~;13.69 ;     ~;     ~;     ~;~              ;  37;   0
496;V495 CYG   ;V* V495 Cyg              ;cC*;20 15 58.3271220096 +35 00 53.004621313;     ~;12.01 ;10.75 ;     ~;     ~;~              ;  39;   0
497;V493 AQL   ;V* V493 Aql              ;cC*;18 57 24.2673850373 -00 43 48.825913288;     ~;12.18 ;11.01 ;10.63 ;     ~;~              ;  36;   0
498;V492 CYG   ;V* V492 Cyg              ;cC*;20 11 13.5936752782 +35 24 48.813316908;     ~;14.07 ;     ~;     ~;     ~;~              ;  25;   0
499;V484 MON   ;V* V484 Mon              ;Ce*;06 31 05.4422248659 -02 08 48.456914326;     ~;     ~;13.67 ;     ~;     ~;~              ;  23;   0
500;V520 CYG   ;V* V520 Cyg              ;cC*;20 54 57.5309571381 +47 32 01.690667585;     ~;12.10 ;10.89 ;     ~;     ~;G0             ;  41;   0
